T911|HR2U|031:41:50|048:21:42
T912|HR1U|031:07:42|047:45:51
T913|HR2L|014:58:59|031:48:49
T914|HR1L|014:27:12|031:13:52
T915|HR2U|-01:39:07|015:03:31
T916|HR1U|-02:04:36|014:34:05
T917|HR2L|-18:19:29|-01:32:03
T918|HR1L|-18:45:07|-01:58:59
T919|HR2U|-35:17:28|-18:17:51
T920|HR1U|-35:17:25|-18:38:28
T921|HR1U|097:40:29|114:17:55
T922|HR2U|097:47:27|114:28:58
T923|HR2L|081:03:07|097:52:08
T924|HR1L|081:01:11|097:46:02
T925|HR2U|064:23:52|081:07:38
T926|HR1U|064:23:42|081:08:31
T927|HR1U|130:53:00|143:59:49
