skip|69-HC-1268||||||
141:30:15|AS13-59-8568|||Jettison of the Lunar Module from the CM|||
141:30:16|AS13-59-8569|||Jettison of the Lunar Module from the CM|||
141:30:21|AS13-59-8570|||Jettison of the Lunar Module from the CM|||
141:30:22|AS13-59-8571|||Jettison of the Lunar Module from the CM|||
141:30:23|AS13-59-8572|||Jettison of the Lunar Module from the CM|||
141:30:36|AS13-59-8573|||Jettison of the Lunar Module from the CM|||
141:30:37|AS13-59-8574|||Lunar Module Falling behind after jettison|||
141:30:38|AS13-59-8575|||Lunar Module Falling behind after jettison|||
141:30:40|AS13-59-8576|||Lunar Module Falling behind after jettison|||
001:10:00|AS13-60-8577|||Cloud covered Pacific Ocean|||
001:31:10|AS13-60-8578|||Baja California|||
003:16:26|AS13-60-8579|||LM & S-IVB during Transposition and Docking|||
003:16:48|AS13-60-8580|||LM & S-IVB during Transposition and Docking|||
003:17:10|AS13-60-8581|||LM & S-IVB during Transposition and Docking|||
004:09:20|AS13-60-8582|||S-IVB over the LM following separation|||
004:09:32|AS13-60-8583|||S-IVB over the LM following separation|||
004:09:38|AS13-60-8584|||S-IVB over the LM following separation|||
004:12:00|AS13-60-8585|||S-IVB over the LM following separation|||
004:12:04|AS13-60-8586|||S-IVB over the LM following separation|||
004:16:00|AS13-60-8587|||S-IVB following separation|||
004:21:00|AS13-60-8588|||North & central America and the Pacific Ocean|||
004:39:00|AS13-60-8589|||Distant view of the S-IVB venting|||
007:07:45|AS13-60-8590|||Earth  terminator off West coast of US storm cloud formation|||
007:39:49|AS13-60-8591|||Earth Pacific cold front seen in cloud formation|||
008:42:09|AS13-60-8592|||Earth Pacific cold front seen in cloud formation|||
009:03:12|AS13-60-8593|||Earth Pacific cold front seen in cloud formation|||
009:36:26|AS13-60-8594|||Earth Pacific cold front seen in cloud formation|||
009:47:12|AS13-60-8595|||Earth Pacific cold front seen in cloud formation. Mainland of Asia on Horizon. Yellow Sea, Korea, SE Asia|||
010:08:40|AS13-60-8596|||Earth Pacific cold front seen in cloud formation. Mainland of Asia on Horizon. Yellow Sea, Korea, SE Asia|||
010:31:01|AS13-60-8597|||Earth Pacific cold front seen in cloud formation. Mainland of Asia on Horizon. Yellow Sea, Korea, SE Asia|||
010:53:01|AS13-60-8598|||Earth Pacific cold front seen in cloud formation. Mainland of Asia on Horizon. Yellow Sea, Korea, SE Asia|||
011:15:01|AS13-60-8599|||Earth Pacific cold front seen in cloud formation. Mainland of Asia on Horizon. Yellow Sea, Korea, SE Asia|||
011:37:20|AS13-60-8600|||Eastern Pacific Ocean, Australia, China Sea and Korea|||
026:10:00|AS13-60-8601|||Distant view of Earth, North America, Caribbean Sea|||
026:11:00|AS13-60-8602|||Distant view of Earth, North America, Caribbean Sea|||
076:05:10|AS13-60-8603|||Attempted view of the nearside terminator and lunar limb. No detail.|||
076:05:20|AS13-60-8604|||Very faint lunar limb and neraside terminator-Arzachel, Thebit and  Purbach|||
076:05:40|AS13-60-8605|||Very faint lunar limb and nearside terminator-Arzachel, Thebit and  Purbach|||
076:06:00|AS13-60-8606|||Very faint lunar limb and nearside terminator-Rupes Recta, Purbach, Arzachel and Alphonsus|||
077:11:40|AS13-60-8607|||Chaplygin, Marconi|||
077:11:57|AS13-60-8608|||Marconi, Vil'ev, Dellinger|||
077:12:14|AS13-60-8609|||Dellinger, Chauvenet|||
077:12:32|AS13-60-8610|||Chaplygin|||
077:12:44|AS13-60-8611|||Chaplygin|||
077:13:02|AS13-60-8612|||NE of Chaplygin, Schliemann T & W|||
077:13:27|AS13-60-8613|||Chaplygin|||
077:13:41|AS13-60-8614|||Chaplygin|||
077:13:56|AS13-60-8615|||Chaplygin and Beijerinck|||
077:14:28|AS13-60-8616|||Denning, Denning B, R & Y|||
077:14:42|AS13-60-8617|||Chauvenet, Chauvenet C, D, I & J|||
077:14:58|AS13-60-8618|||Perepelkin, Love G & H|||
077:15:14|AS13-60-8619|||Tsiolkovskiy, Chauvenet & Chauvenet C|||
077:15:47|AS13-60-8620|||Ten Bruggencate Y, Prager G, Pannekoek R & T|||
077:16:00|AS13-60-8621|||Perepelkin, Shirakatsi, Dobrovol'skiy|||
077:16:13|AS13-60-8622|||Shirakatsi, Dobrovol'skiy and Dobrovol'skiy R|||
077:16:27|AS13-60-8623|||Love, Perepelkin, Shirakatsi|||
077:16:59|AS13-60-8624|||Glazenap, Pannekoek T, Prager G|||
077:17:20|AS13-60-8625|||Lunar Horizon looking south towards Tsiolkovsky, Patsaev, Volkov, Lander|||
077:17:32|AS13-60-8626|||Lunar Horizon looking south towards Tsiolkovsky, Volkov and Dobrovol'skiy|||
077:17:50|AS13-60-8627|||Pirquet, Levi-Civita S, Pavlov V|||
077:18:12|AS13-60-8628|||Pirquet, Denning, Denning R & V|||
077:18:32|AS13-60-8629|||Chauvenet, Chauvenet C and Pannekoek|||
077:18:47|AS13-60-8630|||Pannekoek, Pannekoek R & T, Dellinger|||
077:19:07|AS13-60-8631|||Lane, Ten Bruggencate, Prager G, Glazenap P|||
077:19:31|AS13-60-8632|||Perpelkin, Love, Prager, Danjon, D'Arsonval|||
077:19:52|AS13-60-8633|||Tsiolkovsky, Fermi and Dobrovol'skiy|||
077:20:18|AS13-60-8634|||Tsiolkovsky, Fermi and Dobrovol'skiy|||
077:21:00|AS13-60-8635|||Ventris and Keeler|||
077:21:15|AS13-60-8636|||Schliemann, Ventris and Keeler|||
077:21:42|AS13-60-8637|||Perpelkin, Dobrovol'skiy, Volkov, Tsiolkovskiy, Fermi|||
077:21:57|AS13-60-8638|||Shirakatsi, Dobrovol'skiy, Tsiolkovskiy|||
077:24:27|AS13-60-8639|||Meitner, Khvol'son, Pasteur|||
077:24:40|AS13-60-8640|||Einthoven, Pasteur, and Saha J|||
077:25:01|AS13-60-8641|||Einthoven, Pasteur, and Saha J|||
077:25:25|AS13-60-8642|||Becvar, Becvar R & T, Necho and Vesalius H & J|||
077:27:05|AS13-60-8643|||Milne, Scaliger, Alden, Iszak|||
